record_id,title,abstract,year,seed_theme,record_type,text_for_embedding,original_cluster_id,cluster,probability,cluster_display,cluster_theme,pc1_plot,pc2_plot,pc1_cluster,pc2_cluster,pc3_cluster,pc4_cluster
cancer-immunotherapy-04-0302,Management of immune-related myocarditis: study 302,"This study examines myocarditis through rechallenge strategy, safety monitoring, and immune-related adverse event. It also discusses links to immune contexture and myeloid state, alongside portfolio review and real-world evidence.",2024,Toxicity management,core,"Management of immune-related myocarditis: study 302 [SEP] This study examines myocarditis through rechallenge strategy, safety monitoring, and immune-related adverse event. It also discusses links to immune contexture and myeloid state, alongside portfolio review and real-world evidence.",11,12,0.9797936288274213,Cluster 12,Toxicity management,-0.22092015850233315,-0.057045913187607794,-0.22092015850233315,-0.057045913187607794,-0.1237867421282598,-0.09616640530738679
cancer-immunotherapy-03-0191,Combination immunotherapy strategy in neoantigen vaccination: study 191,"This study examines neoantigen vaccination through adaptive resistance, priming effect, and synergy signal. It also discusses links to response stratification and selection biomarker, alongside molecular profiling and clinical development.",2020,Combination strategy,core,"Combination immunotherapy strategy in neoantigen vaccination: study 191 [SEP] This study examines neoantigen vaccination through adaptive resistance, priming effect, and synergy signal. It also discusses links to response stratification and selection biomarker, alongside molecular profiling and clinical development.",10,11,0.9881127138898469,Cluster 11,Combination strategy,-0.08022406996606275,0.054097585429966,-0.08022406996606275,0.054097585429966,-0.09312615837283356,0.2748706884186409
cancer-immunotherapy-04-0318,Management of immune-related myocarditis: study 318,"This study examines myocarditis through rechallenge strategy, immune-related adverse event, and steroid management. It also discusses links to synergy signal and priming effect, alongside validation cohort and dose optimization.",2022,Toxicity management,core,"Management of immune-related myocarditis: study 318 [SEP] This study examines myocarditis through rechallenge strategy, immune-related adverse event, and steroid management. It also discusses links to synergy signal and priming effect, alongside validation cohort and dose optimization.",11,12,0.9957731916135172,Cluster 12,Toxicity management,-0.25742039292935226,-0.03430802055026396,-0.25742039292935226,-0.03430802055026396,-0.19493442830495736,-0.0336296672207789
cancer-immunotherapy-01-0252,Biomarker mapping for T-cell exhaustion: study 252,"This study examines T-cell exhaustion through response stratification, interferon signaling, and selection biomarker. It also discusses links to immune-related adverse event and steroid management, alongside patient stratification and real-world evidence.",2025,Checkpoint biomarkers,core,"Biomarker mapping for T-cell exhaustion: study 252 [SEP] This study examines T-cell exhaustion through response stratification, interferon signaling, and selection biomarker. It also discusses links to immune-related adverse event and steroid management, alongside patient stratification and real-world evidence.",1,2,0.9894385526091403,Cluster 2,Checkpoint biomarkers,-0.08238221379587862,-0.06759113226714543,-0.08238221379587862,-0.06759113226714543,-0.08501543476364495,-0.22691591345081571
cancer-immunotherapy-r-0006,"Landscape review of PD-L1 scoring, lymphocyte states, and bispecific activation","This review connects interferon signaling, single-cell profiling, adaptive resistance, and immune-related adverse event. It frames the field around portfolio review, mechanism of resistance, early-phase trial, and clinical development.",2021,review-like mixed corpus,review,"Landscape review of PD-L1 scoring, lymphocyte states, and bispecific activation [SEP] This review connects interferon signaling, single-cell profiling, adaptive resistance, and immune-related adverse event. It frames the field around portfolio review, mechanism of resistance, early-phase trial, and clinical development.",4,5,1.0,Cluster 5,Review hub: PD-L1 scoring x lymphocyte states,0.3826387637680577,-0.14704440754638642,0.3826387637680577,-0.14704440754638642,-0.10227844596261952,-0.03157384128293647
cancer-immunotherapy-03-0118,Combination immunotherapy strategy in radiotherapy priming: study 118,"This study examines radiotherapy priming through vaccine strategy, adaptive resistance, and treatment sequence. It also discusses links to immune-related adverse event and steroid management, alongside translational biomarker and molecular profiling.",2025,Combination strategy,core,"Combination immunotherapy strategy in radiotherapy priming: study 118 [SEP] This study examines radiotherapy priming through vaccine strategy, adaptive resistance, and treatment sequence. It also discusses links to immune-related adverse event and steroid management, alongside translational biomarker and molecular profiling.",3,4,0.9557025116007513,Cluster 4,Combination strategy,-0.16290137501705523,-0.049607976936611335,-0.16290137501705523,-0.049607976936611335,-0.21883678036329873,0.24237419546291902
cancer-immunotherapy-03-0412,Combination immunotherapy strategy in bispecific activation: study 412,"This study examines bispecific activation through treatment sequence, priming effect, and vaccine strategy. It also discusses links to rechallenge strategy and immune-related adverse event, alongside early-phase trial and clinical development.",2025,Combination strategy,core,"Combination immunotherapy strategy in bispecific activation: study 412 [SEP] This study examines bispecific activation through treatment sequence, priming effect, and vaccine strategy. It also discusses links to rechallenge strategy and immune-related adverse event, alongside early-phase trial and clinical development.",6,7,0.9542188522404822,Cluster 7,Combination strategy,-0.12307911824398021,-0.06309775566448786,-0.12307911824398021,-0.06309775566448786,-0.24802163715643227,0.250524452650727
cancer-immunotherapy-x-0114,Integrated analysis of macrophage barriers with neoantigen vaccination: study 114,"This paper links tissue architecture and immune contexture to priming effect and vaccine strategy. The framing emphasizes translational biomarker, validation cohort, and early-phase trial across mixed translational contexts.",2025,Microenvironment profiling + Combination strategy,crossover,"Integrated analysis of macrophage barriers with neoantigen vaccination: study 114 [SEP] This paper links tissue architecture and immune contexture to priming effect and vaccine strategy. The framing emphasizes translational biomarker, validation cohort, and early-phase trial across mixed translational contexts.",21,22,1.0,Cluster 22,Bridge: Microenvironment profiling x Combination strategy,0.004961236831309536,0.3772651708541399,0.004961236831309536,0.3772651708541399,0.18353232451259208,0.1712798218905244
cancer-immunotherapy-01-0409,Biomarker mapping for PD-1 response: study 409,"This study examines PD-1 response through immune exclusion, interferon signaling, and selection biomarker. It also discusses links to single-cell profiling and myeloid state, alongside early-phase trial and dose optimization.",2020,Checkpoint biomarkers,core,"Biomarker mapping for PD-1 response: study 409 [SEP] This study examines PD-1 response through immune exclusion, interferon signaling, and selection biomarker. It also discusses links to single-cell profiling and myeloid state, alongside early-phase trial and dose optimization.",17,18,0.9651205325057434,Cluster 18,Checkpoint biomarkers,0.0032539550593538445,-0.05525371788196643,0.0032539550593538445,-0.05525371788196643,0.06216730954406689,-0.23591973705020908
cancer-immunotherapy-r-0080,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming","This review connects interferon signaling, single-cell profiling, vaccine strategy, and immune-related adverse event. It frames the field around patient stratification, early-phase trial, translational biomarker, and clinical development.",2023,review-like mixed corpus,review,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming [SEP] This review connects interferon signaling, single-cell profiling, vaccine strategy, and immune-related adverse event. It frames the field around patient stratification, early-phase trial, translational biomarker, and clinical development.",2,3,0.980415237827775,Cluster 3,Review hub: T-cell exhaustion x immune niches,0.2940981133700675,-0.08381281236716205,0.2940981133700675,-0.08381281236716205,-0.04646954289205125,0.004762951655655772
